Categorie,Dim1,Dim2
0,-0.5269079770985673,-1.1873764334565119e-16
1,-0.3631773165026681,-6.119070171570426e-17
2,-0.17471087843484956,8.735911867795596e-18
3,0.016024011199491466,1.0145616984109027e-16
4,0.4828130271453945,-3.776509438419482e-17
5,-0.6300548723832063,-1.8035163066334145e-17
6,-0.03579725461256216,7.206995466268818e-17
7,0.08193591353805171,2.345395022592648e-18
8,-0.06321111588211399,4.520565473762136e-18
